county_l1,town
Carlow,Ardattin
Carlow,Bagenalstown
Carlow,Ballinabranna
Carlow,Ballon
Carlow,Ballymurphy
Carlow,Borris
Carlow,Carlow
Carlow,Clonegal
Carlow,Clonmore
Carlow,Drummond
Carlow,Fenagh
Carlow,Hacketstown
Carlow,Harrow Cross
Carlow,Kildavin
Carlow,Leighlinbridge
Carlow,Myshall
Carlow,Nurney
Carlow,Old Leighlin
Carlow,Palatine
Carlow,Rathanna
Carlow,Rathvilly
Carlow,Royal Oak
Carlow,St Mullins
Carlow,Tinryland
Carlow,Tullow
Carlow,Tynock
Cavan,Arvagh
Cavan,Bailieboro
Cavan,Bailieborough
Cavan,Ballinagh
Cavan,Ballyconnell
Cavan,Ballyjamesduff
Cavan,Bawnboy
Cavan,Belturbet
Cavan,Blacklion
Cavan,Butlersbridge
Cavan,Butlersbridge Droichead
Cavan,Cavan
Cavan,Cootehill
Cavan,Crosskeys
Cavan,Dowra
Cavan,Gowna
Cavan,Kilcogy
Cavan,Killeshandra
Cavan,Killydoon
Cavan,Kilnaleck
Cavan,Kingscourt
Cavan,Lavey
Cavan,Loch Gowna
Cavan,Lough Gowna
Cavan,Maghera
Cavan,Mount Nugent
Cavan,Mountnugent
Cavan,Mullagh
Cavan,Redhills
Cavan,Shercock
Cavan,Stradone
Cavan,Stradone Village
Cavan,Swanlinbar
Cavan,Tullyvin
Cavan,Virginia
Clare,Ballynacally
Clare,Ballyvaughan
Clare,Barefield
Clare,Bodyke
Clare,Boston
Clare,Bridgetown
Clare,Broadford
Clare,Bunratty
Clare,Caher
Clare,Carrigaholt
Clare,Clarecastle
Clare,Clonlara
Clare,Connolly
Clare,Coolmeen
Clare,Cooraclare
Clare,Corofin
Clare,Cranny
Clare,Cree
Clare,Cross
Clare,Doolin
Clare,Doonbeg
Clare,Doonbeg Village
Clare,Ennis
Clare,Ennistymon
Clare,Feakle
Clare,Flagmount
Clare,Inch-Clare
Clare,Kildysart
Clare,Kildysart Village
Clare,Kilfenora
Clare,Kilkee
Clare,Kilkishen
Clare,Killaloe
Clare,Killimer
Clare,Kilmaley
Clare,Kilmihil
Clare,Kilmurry
Clare,Kilmurry Mcmahon
Clare,Kilrush
Clare,Knock
Clare,Labasheeda
Clare,Lahinch
Clare,Lahinch An Leacht
Clare,Liscannor
Clare,Lisdoonvarna
Clare,Lissycasey
Clare,Meelick
Clare,Miltown Malbay
Clare,Mountshannon
Clare,Mullagh
Clare,Newmarket-On-Fergus
Clare,O'Brien'S Bridge
Clare,O'Briens Bridge
Clare,O'Callaghan'S Mills
Clare,Ocallaghans Mills
Clare,Ogonnelloe
Clare,Parteen
Clare,Quin
Clare,Ruan
Clare,Scariff
Clare,Scarriff
Clare,Shannon
Clare,Sixmilebridge
Clare,Spancilhill Clooney
Clare,Spanish Point
Clare,Tuamgraney
Clare,Tulla
Clare,Whitegate
Clare,Whitegate-Clare
Cork,Aghabullogue
Cork,Ahakista
Cork,Aherla
Cork,Ahiohill
Cork,Ardfield
Cork,Ardgroom Village
Cork,Baile Mhic Ire-Baile
Cork,Baile Mhic Ire\Baile Bh
Cork,Baile Mhic Ire\Baile Bhuirne
Cork,Baile Mhuirne
Cork,Ballinadee
Cork,Ballinascarthy
Cork,Ballincollig
Cork,Ballineen
Cork,Ballineen-
Cork,Ballineen-Enniskean
Cork,Ballineen-Enniskeane
Cork,Ballingeary
Cork,Ballinhassig
Cork,Ballinspittle
Cork,Ballinspittle-Beal Átha An
Cork,Ballintotas
Cork,Ballintotis
Cork,Ballyclough
Cork,Ballycotton
Cork,Ballydehob
Cork,Ballydesmond
Cork,Ballyhooly
Cork,Ballylickey
Cork,Ballymacoda
Cork,Ballymakeera
Cork,Ballymakeera-Ballyvourney
Cork,Baltimore
Cork,Bandon
Cork,Banteer
Cork,Bantry
Cork,Bartlemy
Cork,Beal Atha An Ghaorthaidh
Cork,Beal Athan Ghaorthaidh
Cork,Belgooly
Cork,Bere Island
Cork,Berrings
Cork,Bishopstown
Cork,Blarney
Cork,Boherbue
Cork,Bridesbridge
Cork,Béal Átha An Ghaorthaidh
Cork,Carrigadrohid-
Cork,Carrigadrohid-Killardrish
Cork,Carrigaline
Cork,Carriganima
Cork,Carrigtwohill
Cork,Castlelyons
Cork,Castlelyons-Bridesbridge
Cork,Castlemagner
Cork,Castlemartyr
Cork,Castletownbere
Cork,Castletownbere-Baile
Cork,Castletownroche
Cork,Castletownsend
Cork,Castletownshend
Cork,Charleville
Cork,Churchtown
Cork,Cill Na Martra
Cork,Clonakilty
Cork,Clondrohid
Cork,Cloyne
Cork,Coachford
Cork,Cobh
Cork,Conna
Cork,Coolagown
Cork,Copeen
Cork,Courtmacsherry
Cork,Crookhaven
Cork,Crosshaven
Cork,Cuil Aodha
Cork,Cuil-Aodha
Cork,Cullen
Cork,Doneraile
Cork,Douglas
Cork,Drimoleague
Cork,Drinagh
Cork,Dripsey
Cork,Dromahane
Cork,Dromhane
Cork,Dromina
Cork,Dunbeacon
Cork,Dunmanway
Cork,Durrus
Cork,Durrus Village
Cork,Dursey Island
Cork,Eyeries
Cork,Fermoy
Cork,Freemount
Cork,Glandore
Cork,Glanmire
Cork,Glanworth
Cork,Glengarriff
Cork,Glenville
Cork,Glounthaune
Cork,Glounthaune Village
Cork,Goleen
Cork,Goleen- An Goilín
Cork,Grenagh
Cork,Guileen
Cork,Heir Island
Cork,Inch
Cork,Inch-Cork
Cork,Inchigeela
Cork,Inchigeelagh
Cork,Innishannon
Cork,Kanturk
Cork,Kealkill
Cork,Kilbrittain
Cork,Kilcrohane
Cork,Kildorrery
Cork,Killeagh
Cork,Kilmacsimon
Cork,Kilmacsimon Quay
Cork,Kilmurry
Cork,Kilworth
Cork,Kinsale
Cork,Kiskeam
Cork,Knocknagree
Cork,Knocknagree -Cnoc Na
Cork,Knockraha
Cork,Labbamologga
Cork,Ladysbridge
Cork,Leap
Cork,Lisavaird
Cork,Liscarroll
Cork,Lislevane
Cork,Lismire
Cork,Little Island
Cork,Lowertown
Cork,Macroom
Cork,Mallow
Cork,Meelin
Cork,Midleton
Cork,Milford
Cork,Milford-Cork
Cork,Millstreet
Cork,Minane Bridge
Cork,Mitchelstown
Cork,Mogeely
Cork,Monkstown
Cork,Newcestown
Cork,Newcestown Village
Cork,Newmarket
Cork,Newmarket-Cork
Cork,Newtownshandrum
Cork,Newtwopothouse
Cork,Oilean Chleire
Cork,Oileán Cléire
Cork,Owenahincha
Cork,Passage West
Cork,Passage West/Monkstown
Cork,Rathbarry
Cork,Rathcormac
Cork,Reenascreena
Cork,Ring
Cork,Ringaskiddy
Cork,Rochestown
Cork,Rockchapel
Cork,Rosscarbery
Cork,Rostellan
Cork,Rostellan-Farsid
Cork,Sallybrook
Cork,Schull
Cork,Shanagarry
Cork,Shandon
Cork,Shannonvale
Cork,Sherkin Island
Cork,Skibbereen
Cork,St Luke'S
Cork,Timoleague
Cork,Timoleague (Molaga)
Cork,Togher
Cork,Toormore
Cork,Twopothouse
Cork,Union Hall
Cork,Waterfall
Cork,Watergrasshill
Cork,Whiddy Island
Cork,Whiddy Island -Oileán
Cork,Whitegate
Cork,Whitegate-Cork
Cork,Youghal
Donegal,An Falcarrach
Donegal,Annagry
Donegal,Arainn Mor
Donegal,Ardara
Donegal,Baile Na Finne
Donegal,Ballybofey-Stranorlar
Donegal,Ballybofey/Stranorlar
Donegal,Ballyliffin
Donegal,Ballyliffin -Baile Lifín
Donegal,Ballyshannon
Donegal,Brochagh-Cloghan
Donegal,Brockagh-Cloghan
Donegal,Buncrana
Donegal,Bundoran
Donegal,Burtonport
Donegal,Carndonagh
Donegal,Carraig Airt
Donegal,Carrigans
Donegal,Carrigart
Donegal,Castlefinn
Donegal,Churchill
Donegal,Clonmany
Donegal,Convoy
Donegal,Creeslough
Donegal,Crolly
Donegal,Culdaff
Donegal,Culdaff- Cúil Dabhcha
Donegal,Donegal
Donegal,Donegal Town
Donegal,Doochary
Donegal,Dore
Donegal,Downings
Donegal,Dunfanaghy
Donegal,Dungloe
Donegal,Dunkineely
Donegal,Fintown
Donegal,Frosses
Donegal,Gabhla Island
Donegal,Gaoth Dobhair
Donegal,Glencolmcille
Donegal,Glenties
Donegal,Gort A'Choirce
Donegal,Gort A'Choirce-Gort An
Donegal,Greencastle
Donegal,Inis Bo Finne
Donegal,Island Roy
Donegal,Kerrykeel
Donegal,Kilcar
Donegal,Killea
Donegal,Killybegs
Donegal,Kilmacrenan
Donegal,Kincasslagh
Donegal,Letterkenny
Donegal,Lettermacaward
Donegal,Lettermacaward-Leitir
Donegal,Lifford
Donegal,Loch An Iuir
Donegal,Loch An Iúir
Donegal,Loughanure
Donegal,Maghery
Donegal,Malin
Donegal,Malin -Málainn
Donegal,Manorcunningham
Donegal,Manorcunningham-
Donegal,Milford
Donegal,Milford-Donegal
Donegal,Moville
Donegal,Muff
Donegal,Mullachdubh
Donegal,Mullaghdubh
Donegal,Narin
Donegal,Narin-Portnoo
Donegal,Narin/Portnoo
Donegal,Newtowncunningham
Donegal,Oilean Ghabhla
Donegal,Oilean Ghabhla (Gola)
Donegal,Oilean Thorai
Donegal,Ramelton
Donegal,Raphoe
Donegal,Rathmullan
Dublin,Balbriggan
Dublin,Ballinteer
Dublin,Ballsbridge
Dublin,Ballyboden
Dublin,Ballyboughal
Dublin,Ballybrack
Dublin,Ballyfermot
Dublin,Ballymun
Dublin,Balrothery
Dublin,Balrothery Village
Dublin,Balscadden
Dublin,Blackrock
Dublin,Blanchardstown
Dublin,Brittas
Dublin,Bushfield Park
Dublin,Cabinteely
Dublin,Cabra
Dublin,Castleknock
Dublin,Chapelizod
Dublin,Cherry Orchard
Dublin,Clondalkin
Dublin,Clondalkin (Monastery
Dublin,Clondalkin North
Dublin,Coolock
Dublin,Dalkey
Dublin,Dalkey Town
Dublin,Donabate
Dublin,Donnybrook
Dublin,Dun Laoghaire
Dublin,Finglas
Dublin,Firhouse
Dublin,Foxrock
Dublin,Garristown
Dublin,Glasthule\Sandycove
Dublin,Goatstown Baile Na
Dublin,Griffeen
Dublin,Harolds Cross
Dublin,Howth
Dublin,Killester
Dublin,Lucan
Dublin,Lusk
Dublin,Malahide
Dublin,Manor Street/Stoneybatter
Dublin,Mounttown
Dublin,Naul
Dublin,Newcastle Lyons
Dublin,Newcastle-Lyons
Dublin,Old Bawn
Dublin,Ongar
Dublin,Palmerstown
Dublin,Phibsborough
Dublin,Portmarnock
Dublin,Portobello
Dublin,Raheny
Dublin,Ranelagh
Dublin,Rathbourne
Dublin,Rathcoole
Dublin,Rathcoole-Dublin
Dublin,Rathfarnham
Dublin,Rialto
Dublin,Rush
Dublin,Rusheeny
Dublin,Sandycove
Dublin,Sandymount
Dublin,Santry
Dublin,Shankill
Dublin,Skerries
Dublin,Stepaside
Dublin,Sutton
Dublin,Swords
Dublin,Temple Bar
Dublin,Templeogue
Dublin,Terenure
Dublin,The Naul
Dublin,Whitecliff
Dublin,Woodstown Village
Galway,Abbey
Galway,Abbeyknockmoy
Galway,Ahascragh
Galway,An Cheathru Rua
Galway,An Spideal
Galway,Ardrahan
Galway,Athenry
Galway,Aughrim
Galway,Aughrim-Galway
Galway,Ballinasloe
Galway,Ballygar
Galway,Ballymoe
Galway,Caltra
Galway,Caltra -Cealltrach
Galway,Camus
Galway,Carna
Galway,Castleblakeney
Galway,Castlegar
Galway,Cill Chiarain
Galway,Claregalway
Galway,Clarenbridge
Galway,Clarinbridge
Galway,Cleggan
Galway,Clifden
Galway,Clonberne
Galway,Clonbur
Galway,Craughwell
Galway,Creggs
Galway,Dunmore
Galway,Eyrecourt
Galway,Galway City Centre
Galway,Glenamaddy
Galway,Glenard
Galway,Glinsk
Galway,Gort
Galway,Headford
Galway,Inis Meain
Galway,Inis Mor
Galway,Inishbofin
Galway,Kilconnell
Galway,Kilkerrin
Galway,Kinvara
Galway,Lawrencetown
Galway,Leenane
Galway,Letterfrack
Galway,Lettermullen
Galway,Loughrea
Galway,Maam
Galway,Menlough
Galway,Milltown
Galway,Milltown-Galway
Galway,Monivea
Galway,Mountbellew
Galway,Moycullen
Galway,Moycullen Maigh Cuilinn
Galway,Moylough
Galway,Na Forbacha
Galway,Newbridge
Galway,Newbridge-Galway
Galway,Oranmore
Galway,Oughterard
Galway,Portumna
Galway,Renmore
Galway,Rosmuc
Galway,Rosscahill
Galway,Roundstone
Galway,Spideal
Galway,Spidéal
Galway,Tuam
Galway,Tullycross
Galway,Tullycross Village -Tulach
Galway,Tynagh
Galway,Tynagh Village
Galway,Williamstown
Galway,Woodford
Kerry,Abbeydorney
Kerry,Annascaul
Kerry,Ardfert
Kerry,Asdee
Kerry,Baile An Fhirteirigh
Kerry,Baile Na Ngall
Kerry,Ballinskelligs
Kerry,Ballybunion
Kerry,Ballyduff
Kerry,Ballyheigue
Kerry,Ballylongford
Kerry,Barraduff
Kerry,Beaufort
Kerry,Boolteens
Kerry,Brosna
Kerry,Caherdaniel
Kerry,Cahersiveen
Kerry,Cahirciveen
Kerry,Cahirsiveen
Kerry,Camp
Kerry,Castlecove
Kerry,Castlegregory
Kerry,Castleisland
Kerry,Castlemaine
Kerry,Causeway
Kerry,Ceann Tra
Kerry,Ceann Tragha
Kerry,Ceann Tragha/Ventry
Kerry,Ceann Tragna
Kerry,Chapeltown
Kerry,Cloghane
Kerry,Cloghane Brandon
Kerry,Cnoc An Iúir
Kerry,Cromane
Kerry,Currans
Kerry,Currow
Kerry,Dingle
Kerry,Duagh
Kerry,Farranfore
Kerry,Fenit
Kerry,Finuge
Kerry,Firies
Kerry,Fossa
Kerry,Glenbeigh
Kerry,Kenmare
Kerry,Kilcummin
Kerry,Kilflynn
Kerry,Kilgarvan
Kerry,Killarney
Kerry,Killorglin
Kerry,Kilmoyley
Kerry,Knightstown
Kerry,Knightstown Baile An
Kerry,Knockanure
Kerry,Knocknagoshel
Kerry,Lauragh
Kerry,Lios Poil
Kerry,Lisselton
Kerry,Listowel
Kerry,Lixnaw
Kerry,Milltown
Kerry,Miltown
Kerry,Moyvane
Kerry,Portmagee
Kerry,Portmagee -Port Mhic
Kerry,Rathmore
Kerry,Scartaglen
Kerry,Sneem
Kerry,Tarbert
Kerry,Tralee
Kerry,Ventry
Kerry,Waterville
Kildare,Allenwood
Kildare,Ardclough
Kildare,Athy
Kildare,Ballitore
Kildare,Ballymore Eustace
Kildare,Ballytore
Kildare,Brannockstown
Kildare,Broadford
Kildare,Broadford-Kildare
Kildare,Calverstown
Kildare,Caragh
Kildare,Carbury
Kildare,Carbury Village
Kildare,Castledermot
Kildare,Celbridge
Kildare,Clane
Kildare,Coill Dubh
Kildare,Coilldubh
Kildare,Derrinturn
Kildare,Droichead Nua
Kildare,Eadestown
Kildare,Johnstown
Kildare,Johnstownbridge
Kildare,Kilcock
Kildare,Kilcullen
Kildare,Kildangan
Kildare,Kildare
Kildare,Kilkea
Kildare,Kill
Kildare,Kilmead
Kildare,Kilmeade
Kildare,Kilmeague
Kildare,Kilteel
Kildare,Kings Court
Kildare,Leixlip
Kildare,Maynooth
Kildare,Milltown
Kildare,Milltown-Kildare
Kildare,Monasterevin
Kildare,Moone
Kildare,Naas
Kildare,Narraghmore
Kildare,Newbridge
Kildare,Newbridge-Kildare
Kildare,Newtown
Kildare,Nurney
Kildare,Prosperous
Kildare,Rathangan
Kildare,Rathcoffey
Kildare,Robertstown
Kildare,Sallins
Kildare,Straffan
Kildare,Suncroft
Kildare,Timolin
Kildare,Two-Mile-House
Kilkenny,Ballyhale
Kilkenny,Ballyouskill
Kilkenny,Ballyragget
Kilkenny,Bennettsbridge
Kilkenny,Callan
Kilkenny,Callan-Cailin
Kilkenny,Castlecomer
Kilkenny,Clogh
Kilkenny,Coon
Kilkenny,Crosspatrick
Kilkenny,Cuffesgrange
Kilkenny,Dungarvan
Kilkenny,Dungarvan-Kilkenny
Kilkenny,Dunnamaggan
Kilkenny,Fiddown
Kilkenny,Freshford
Kilkenny,Gathabawn
Kilkenny,Glenmore
Kilkenny,Goresbridge
Kilkenny,Gowran
Kilkenny,Graiguenamanagh
Kilkenny,Inistioge
Kilkenny,Johnstown
Kilkenny,Kells
Kilkenny,Kells-Kilkenny
Kilkenny,Kilkenny
Kilkenny,Kilmacow
Kilkenny,Kilmanagh
Kilkenny,Knocktopher
Kilkenny,Lisdowney
Kilkenny,Listerlin
Kilkenny,Moneenroe
Kilkenny,Mooncoin
Kilkenny,Mullinavat
Kilkenny,Newmarket
Kilkenny,Newmarket-Kilkenny
Kilkenny,Owning
Kilkenny,Paulstown
Kilkenny,Piltown
Kilkenny,Slieverue
Kilkenny,Stoneyford
Kilkenny,Templeorum
Kilkenny,Thomastown
Kilkenny,Tullahought
Kilkenny,Urlingford
Kilkenny,Windgap
Laois,Abbeyleix
Laois,Attanagh
Laois,Ballacolla
Laois,Ballacolla-Laois
Laois,Ballinakill
Laois,Ballybrittas
Laois,Ballylinan
Laois,Ballyouskill
Laois,Ballyroan
Laois,Borris-In-Ossory
Laois,Camross
Laois,Castletown
Laois,Clonaslee
Laois,Clough
Laois,Coolrain
Laois,Cullohill
Laois,Donaghmore
Laois,Donaghmore Village
Laois,Durrow
Laois,Emo
Laois,Errill
Laois,Killasmeestia
Laois,Killenard
Laois,Killeshin
Laois,Luggacurran
Laois,Luggacurren
Laois,Mountmellick
Laois,Mountrath
Laois,Pike Of Rushall
Laois,Portarlington
Laois,Portlaoise
Laois,Raheen
Laois,Rathdowney
Laois,Ratheniska
Laois,Rosenallis
Laois,Shanahoe
Laois,Spink
Laois,Stradbally
Laois,Stradbally-Laois
Laois,Timahoe
Laois,Vicarstown
Leitrim,Ballinamore
Leitrim,Carrick-On-Shannon
Leitrim,Carrigallen
Leitrim,Cloone
Leitrim,Cloone Village
Leitrim,Cluainin Ui Ruairc
Leitrim,Dromahair
Leitrim,Dromod
Leitrim,Drumkeeran
Leitrim,Drumkeerin
Leitrim,Drumshanbo
Leitrim,Drumsna
Leitrim,Fenagh
Leitrim,Jamestown
Leitrim,Keshcarrigan
Leitrim,Kiltyclogher
Leitrim,Kinlough
Leitrim,Leitrim
Leitrim,Leitrim Village
Leitrim,Lurganboy
Leitrim,Manorhamilton
Leitrim,Mohill
Leitrim,Newtowngore
Leitrim,Tullaghan
Limerick,Abbeyfeale
Limerick,Abbeylock Estate
Limerick,Adare
Limerick,Anglesborough
Limerick,Annacotty
Limerick,Ardagh-Limerick
Limerick,Ardpatrick
Limerick,Askeaton
Limerick,Athea
Limerick,Athea Village
Limerick,Athlacca
Limerick,Ballinacurra Weston
Limerick,Ballingarry
Limerick,Ballingarry Village
Limerick,Ballyagran
Limerick,Ballygrennan Close
Limerick,Ballyhahill
Limerick,Ballylanders
Limerick,Ballyneety
Limerick,Ballyorgan
Limerick,Ballysteen
Limerick,Banogue
Limerick,Broadford
Limerick,Broadford-Limerick
Limerick,Bruff
Limerick,Bruree
Limerick,Caherconlish
Limerick,Caherdavin
Limerick,Cappagh
Limerick,Cappamore
Limerick,Carabullane
Limerick,Carew Kincora
Limerick,Carrigkerry
Limerick,Castleconnell
Limerick,Castleconnell -Chaisleán
Limerick,Castlemahon
Limerick,Castletown
Limerick,Castletown Conyers
Limerick,Castletroy View
Limerick,Clarina
Limerick,College Gate
Limerick,Colmanswell
